sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,marker_quantity,index,run_dir,batch_num
19.9,5.49,0.0,25.38,23453.63222636384,7.70296473718339e+19,121994.59043821298,4951973.7634178065,5579139.968624288,0.00024,0.00024,34.849856,11.420744,True,True,100000,29,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-3cb9e2b5-4bd2-4bb1-b1bc-cace47d406b9,0
10.27,0.79,0.0,11.06,21793.694994944628,7.635017754544985e+19,121114.64775026219,4905554.3638039315,5597887.675388981,0.0,0.0002,34.849856,11.420744,True,True,10000,52,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-e0838d76-a454-4ac2-a830-c8e1b0439cb8,0
15.23,5.44,0.0,20.67,30249.861273179515,7.713858966455407e+19,122209.35754348552,4957095.028951037,5597845.463591423,0.00024,0.00034,34.849856,11.420744,True,True,100000,44,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-5fa8a45c-ebf8-4b9d-b03a-6f8a1b8a1c6e,0
13.82,0.72,0.0,14.54,20510.991130377202,7.719311570176647e+19,121828.31799189029,4957248.8070351705,5589729.926156714,0.0004,0.0,34.849856,11.420744,True,True,10000,49,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-fea7cb1b-1d80-42d4-980d-24b57169e5a3,0
15.47,5.48,0.0,20.95,29479.467628692528,7.708347699788166e+19,121717.87226319929,4956887.3096438,5599661.356486933,0.00026,0.00016,34.849856,11.420744,True,True,100000,50,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-4e0106d2-636e-49b2-9a23-9ace6faee2b5,0
11.37,5.47,0.0,16.84,28456.281957145187,7.713358412829127e+19,122119.54859577176,4958831.040694038,5597568.604877707,0.00028,0.00028,34.849856,11.420744,True,True,100000,56,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-2b4f9571-6753-4aaa-9111-05e82788a11f,0
8.32,0.74,0.0,9.06,28188.003280873505,7.690493738583368e+19,122684.40349235525,4945371.148970137,5594048.785300743,0.0002,0.0,34.849856,11.420744,True,True,10000,67,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-be1cfe0a-6ea3-4f69-b597-4fbbafa33c4e,0
7.91,0.27,0.0,8.18,25638.188658724583,7.693684375777365e+19,122619.71057175461,4912962.954692446,5642137.274340343,0.0,0.0,34.849856,11.420744,True,True,1000,63,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-ebf7ea10-11aa-4f44-84db-2875739e205c,0
9.95,0.76,0.0,10.71,28176.661783842377,7.669493339516441e+19,120544.63628682298,4927268.343759928,5635695.619976588,0.0,0.0006,34.849856,11.420744,True,True,10000,40,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-9a5ad7dc-2610-462f-88d0-e18958f2c8b1,0
6.07,0.27,0.0,6.34,38463.275856963606,7.590045964445155e+19,118421.23235687401,4885086.6157420445,5510180.280440499,0.0,0.0,34.849856,11.420744,True,True,1000,66,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-5458c8a7-0e7e-48f9-968e-debf9d39a184,0
7.81,0.28,0.0,8.09,12821.813814480309,7.722419028924005e+19,119434.90671294485,4936601.553441115,5671863.389526938,0.0,0.0,34.849856,11.420744,True,True,1000,69,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-b0962ac5-7023-482c-9be7-095776970206,0
10.5,5.44,0.0,15.94,25764.267291770906,7.714610720899934e+19,122590.75513269281,4954567.710917076,5589725.153128955,0.0003,0.00026,34.849856,11.420744,True,True,100000,62,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-9c6f46cd-f142-4871-9131-57c76ba34df9,0
11.71,5.47,0.0,17.18,31273.846615020717,7.71903805327567e+19,122540.81273236348,4960959.616100154,5610771.622687628,0.00036,0.00014,34.849856,11.420744,True,True,100000,59,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-8fdfc790-605b-4924-9deb-681e8060cd8a,0
6.78,0.85,0.0,7.63,15383.109384442461,7.705828226324665e+19,120822.37024294876,4963020.567578216,5581699.671741832,0.0006,0.0002,34.849856,11.420744,True,True,10000,73,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-4f506181-bf92-47fb-8f93-36492db49645,0
7.17,0.27,0.0,7.45,51278.00510002177,7.788044522068242e+19,122982.79514331568,4987707.7535582725,5676320.186894908,0.0,0.0,34.849856,11.420744,True,True,1000,75,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-5b190887-2b67-4e50-8108-7094f5b82edb,0
6.82,0.84,0.0,7.65,35895.256411522256,7.706866930113411e+19,121273.58433128073,4961159.074325288,5609605.369287515,0.0,0.0002,34.849856,11.420744,True,True,10000,58,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-4fa50ef7-5904-46f1-9883-1d57ccee4ab7,0
6.63,0.89,0.0,7.52,41023.199275076186,7.721731334380557e+19,122351.67409258563,4965255.0604092125,5639022.255934746,0.0,0.0,34.849856,11.420744,True,True,10000,76,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-ef433739-e0d5-4e5e-b827-50bc5cfdcf2d,0
7.59,0.84,0.0,8.43,26920.990099406547,7.744057150322477e+19,121974.5212901394,4978855.113292454,5584023.934173312,0.0002,0.0004,34.849856,11.420744,True,True,10000,70,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-6d36fea8-7dd9-4442-a99d-d90bb920095f,0
7.58,0.93,0.0,8.51,34613.7638393919,7.66526411033783e+19,120073.07581085853,4934823.118158814,5637459.833666498,0.0004,0.0002,34.849856,11.420744,True,True,10000,94,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-d704acc3-9f82-4e44-8dd3-b9e6c6c11199,0
6.95,0.27,0.0,7.22,25638.3548336697,7.510737317985193e+19,114602.59973127447,4824255.074045039,5477361.688745557,0.0,0.001996,34.849856,11.420744,True,True,1000,81,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_CurrentDrive_noise_vs_nmarkers_2/batch_0/ascot_sdcc_workflow_runner-54d85366-fc88-4dcf-901d-156ea76dba49,0
