sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,parallel_current_A,current_drive_correction_factor,power_deposited_to_ions_W,power_deposited_to_electrons_W,shine_inj1,shine_inj2,te0,teav,shine_success,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
6.65,0.37,0.0,7.02,237074.03182293812,1.235821390973412e+19,-2985.989838367646,149508.76466004472,-0.01997200528783202,1445184.012092511,13635985.364207856,0.0,0.0,9.019614,1.880917,True,True,782.3665947514,10.82352577274198,1.0814107106253321,0.8902324912098021,69,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-90f98e41-6cd2-416e-b2ac-e6d6bc02a1da,0
11.8,0.89,0.0,12.69,258399.92208191642,1.1755856158342522e+20,186949.74607727252,1408204.5496001611,0.13275752171824337,8903114.921876123,11923733.797360368,0.0002,0.0,28.80673,10.749899,True,True,933.4505113724845,9.480875948028531,1.4910514594168167,1.0631756677386477,21,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-e4a38f8b-9caa-46c5-b3d2-8775e9fa4380,0
5.19,0.59,0.0,5.79,90451.0230394888,9.845179634132743e+19,175312.10925764905,1395519.1880398656,0.1256250080687826,5752398.83703071,8441185.05449676,0.001398,0.0002,38.712805,11.928374,True,True,843.0385432122571,7.9402729652346125,1.0203721369910086,1.1788745411248474,47,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-1555e61c-2b50-4fee-a459-efdc0a5c7656,0
9.12,0.83,0.0,9.95,83029.98395000014,6.6764288713723765e+19,93723.19008226309,696981.4537655051,0.13447013485927797,5772524.766640668,7804542.0732110385,0.0,0.0002,27.218234,9.866686,True,True,747.9861652148592,10.308046922216768,1.463062203287511,1.056481621628355,55,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-eac056b7-f615-4833-a4e9-7e649804f3aa,0
21.82,0.67,0.0,22.5,82658.79523941535,1.1435802095498594e+20,193762.08798889018,1506874.26689452,0.12858543824509638,7007563.489282422,9336684.751044406,0.001199,0.000999,33.355947,11.388342,True,True,864.8479757984417,7.947947729642545,1.3018501113055838,1.1081055017993382,50,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-e759f569-af5c-4cfa-abf5-1806015603b1,0
11.7,0.81,0.0,12.51,9842.63693605367,9.13205144230592e+19,116953.79071973244,1351017.8236113659,0.08656717082170443,3045479.3396496447,3362592.5190609917,0.009116,0.007346,37.191111,12.211423,True,True,616.5209440358169,4.343991943336661,1.345033649683531,1.012291468338545,13,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-6100346a-d33b-464f-ae5e-103858f2aeaf,0
10.19,0.85,0.0,11.04,50601.50501562825,7.907103148851644e+19,252408.46344061516,1627531.6915191684,0.15508666575027635,1618019.3525026247,3203745.9895776357,0.072012,0.062266,58.065548,18.363642,True,True,982.9762300019285,3.6010309304687436,1.0926654438986214,1.4295315144423966,35,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-ef83afcf-b7bc-4ec4-ae3b-45c5c5fe9e97,0
6.09,0.69,0.0,6.78,8764.351514279768,3.0673830891402154e+19,9543.739705672933,286468.0919459105,0.03331519277014257,2170394.0570632946,3157826.9208237175,0.0,0.0,22.01502,6.571901,True,True,500.2749638603433,7.057391950500836,1.3872786091975058,0.8955545390932083,72,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-ac31dfa8-a775-4618-9099-6430d5f40e28,0
7.47,0.55,0.0,8.02,31411.948788218466,1.0960741918285562e+20,164771.16978087276,1740894.022819676,0.09464744414137148,3692507.4944160334,4849698.978118659,0.00892,0.007937,36.558477,12.347642,True,True,715.1757413835139,4.698171248001411,1.3756750389489043,1.026869467503773,75,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-77ef3aa5-b6a6-4867-a443-900cb0cd5f6d,0
8.96,0.28,0.0,9.23,17024.5246904955,3.374293632124757e+18,-490.5689411078551,29919.47748663088,-0.01639630709884754,484801.624758765,4651440.654797113,0.0,0.0,8.592881,1.72493,True,True,510.340489059671,11.443982721192768,1.1796338521786072,0.8965499171761853,27,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-b1418fe9-2631-4dd3-a54f-bdd7da9c5765,0
6.56,0.83,0.0,7.39,115419.36587006897,9.34673908417742e+19,206318.89040284432,1010838.4528334582,0.2041066896738213,8443574.617694613,9286679.088127004,0.0,0.0,35.341484,12.951528,True,True,866.6716170385608,11.521630304519977,1.4919687151100318,1.3329972904086698,73,/scratch/project_2013233/enchanted_plugins/data/ascot_DT-D_random_extended/batch_0/ascot_sdcc_workflow_runner-e619d438-f950-4d08-a07b-d2db76ed9f07,0
