,success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
783,True,54.707106,17.990078,0.113946,0.111111,0.1013765573501586,30.20989956061045,885.6717678718269,2.7385419916361573,1.2766076107509434,1.2254615309648216,813,/tmp/ShineRunner-ee0d1168-938a-4a68-9596-45fa574f4b93,0
785,True,35.169372,10.780954,0.004975,0.004182,0.1176449259122212,30.20843525330225,504.34922287240624,4.244882293045521,1.288617338053882,0.9382991100661456,836,/tmp/ShineRunner-12f024d0-1691-4f6e-9b39-a8620f1db9da,0
786,True,32.248844,10.499604,0.010097,0.007543,0.0394789735476176,27.06000433365504,500.2785241231322,3.580809489265085,1.4704345110803845,0.8283486186526716,964,/tmp/ShineRunner-a1e26117-f423-41d4-8978-e8a9a6db4755,0
787,True,44.529059,13.368588,0.010097,0.009116,0.0392472664515177,35.048106777668,593.5977697372437,4.22810117378831,1.1521696341224017,1.1308977238833904,716,/tmp/ShineRunner-bd7b2e56-c7cd-483e-80ab-3140b70f9531,0
788,True,43.755488,15.95969,0.046529,0.036423,0.039432954788208,27.115417957305908,862.1931727975607,3.6566805034875873,1.493808020837605,1.1300427988171575,838,/tmp/ShineRunner-363501b4-5605-4b6b-af90-b2aa038c96f7,0
789,True,55.573051,16.615821,0.067512,0.068207,0.0127723336219787,28.608712085088094,755.8848545886576,3.1018842395395043,1.0344802918843925,1.2412538507021964,350,/tmp/ShineRunner-6a03c25a-f1db-4052-aba2-13f78defde38,0
790,True,49.545675,16.843882,0.035308,0.027616,0.0114277561505635,28.5617616613706,894.2086510360241,3.943843839317561,1.347549006342888,1.3041091354563834,882,/tmp/ShineRunner-33983377-da06-40bb-b816-515c2bea1b36,0
791,True,49.959653,15.375912,0.002991,0.002593,0.0602801918983459,28.620627021789552,513.3161107078195,4.585499198734761,1.2028114800341427,1.4104251542128623,900,/tmp/ShineRunner-989dd75e-b0db-45cd-bce5-fafd9130adae,0
792,True,46.71121,15.078755,0.01826,0.014584,0.0344161748886108,32.76026679674784,874.0595877170563,4.919979747012258,1.2106801713816822,1.2752702170982957,774,/tmp/ShineRunner-7ae1c783-630e-45c4-921d-d0433e929a1d,0
793,True,48.138152,14.938845,0.153833,0.15683,0.0321458299954732,26.93672351439794,821.3193430565298,2.301038368418813,1.1971415858715773,0.8776782051660121,969,/tmp/ShineRunner-f5b5bafd-4889-4619-9fc8-a92484030e6c,0
