success,te0,teav,output_shine_inj1,shine_inj2,clean_time_min,run_time_min,enbi,nbar,np,hfactor,index,run_dir,batch_num
True,64.18096,21.248953,0.28418,0.265462,0.0006313999493916829,20.971348424752552,733.0186842009425,1.4362395603209734,1.3170892493799329,1.163275506068021,79,/tmp/ShineRunner-a308ad8f-80d0-4d27-91da-085a27003e8b,0
True,43.425641,15.307692,0.085589,0.08609,0.0003346840540568034,18.338795173168183,693.271663505584,2.5010985631495717,1.4728957386687398,0.9269305567257107,95,/tmp/ShineRunner-56d08147-b8c9-400d-8eb6-312fa5a815d4,0
True,44.031852,15.087501,0.006754,0.004579,0.00042030413945515953,23.41892278989156,639.4853610545397,4.5283307425677775,1.4459139271639287,1.2691321603022516,72,/tmp/ShineRunner-660172f0-3506-49a7-9218-31cd7fcf8080,0
True,55.571369,16.614705,0.06367,0.068207,0.0005412062009175618,18.527049271265664,755.8848545886576,3.1018842395395043,1.0344802918843925,1.2412538507021964,94,/tmp/ShineRunner-447b31a3-8460-4da1-b730-87824d2782c4,0
True,46.08427,14.361185,0.019608,0.017682,0.0008780876795450846,24.139352277914682,913.8889363966882,4.98620835877955,1.106284693814814,1.2017450387589634,66,/tmp/ShineRunner-6abeec26-dbd3-4401-aaf3-c76e7dc50594,0
True,51.222653,15.140933,0.014001,0.009312,0.0004761417706807454,17.74962377945582,526.8269036896527,3.755238110944629,1.1329976189881563,1.2882801696658135,100,/tmp/ShineRunner-c3005471-aec7-437d-b73d-99e30f9ea899,0
True,62.955224,19.912368,0.239428,0.227083,0.0006519039471944173,19.79578437010447,849.9131049029529,1.7984060496091843,1.1712663089856505,1.1885045717470348,89,/tmp/ShineRunner-763002dc-3429-41ea-9450-ddffcddcc888,0
True,37.612214,12.116377,0.00892,0.007346,0.00044165452321370444,19.905112075805665,701.4495013281703,4.887651800364256,1.278616627678275,1.0428162719123066,96,/tmp/ShineRunner-31ec897c-160d-46d3-a7ba-5b4cfc2d2ccd,0
True,50.085797,16.93305,0.119873,0.116452,0.0005872050921122233,28.756309672196707,768.2341253384948,2.352992546185851,1.3647706075571477,1.0405404908582567,65,/tmp/ShineRunner-68f0f7e4-c194-4839-8ed7-d40a354210e1,0
True,65.190933,22.802776,0.1912,0.164439,0.0006673097610473633,49.27611352602641,553.0072660185397,1.5075717601925134,1.4998565423302352,1.3137877680361272,11,/tmp/ShineRunner-a8df9a23-d18a-455a-9d94-f620ab531fe1,0
True,60.596245,17.770008,0.097961,0.085756,0.0005342404047648112,21.047164102395374,620.3067316673696,2.3140538170933724,1.0040212483145297,1.2316222382709383,99,/tmp/ShineRunner-3584540b-36a9-4a0e-af55-3f23739ca5f6,0
True,43.75669,15.959736,0.045073,0.036609,0.0020927707354227703,27.72477738459905,862.1931727975607,3.6566805034875873,1.493808020837605,1.1300427988171577,70,/tmp/ShineRunner-b7f8b90c-c4e0-478b-bd66-89b9d63536dd,0
True,55.976041,17.390518,0.027994,0.028938,0.0005461414655049642,18.25685156583786,857.3545217514038,4.215071022138,1.0840569399297237,1.480029862653464,102,/tmp/ShineRunner-78c2f568-6d5b-460d-be3d-57ff636f80c3,0
True,60.150476,18.740989,0.094367,0.079868,0.0012241601943969727,30.307738077640533,577.4245038628578,2.2159988891333344,1.260895303916186,1.3015129185281693,83,/tmp/ShineRunner-6f608173-5879-40db-a71c-851adda5c4bc,0
True,50.607855,16.486372,0.031196,0.031008,0.0003546595573425293,29.079495831330618,545.9038848057389,2.9748486891388897,1.3818607507273555,1.215993866790086,84,/tmp/ShineRunner-02714066-2a1d-4a39-87b4-297759c112c7,0
True,75.126756,23.829013,0.51,0.51,0.00031771262486775714,29.5094739039739,650.8487868122756,0.8900957517325878,1.1546212616376579,1.0548747811466455,87,/tmp/ShineRunner-196f56b9-a15a-463a-98f4-521d82d38de3,0
True,37.284421,13.140612,0.073388,0.064371,0.0005078236262003581,25.194397449493408,930.5347832851112,3.29317536726594,1.4408500120043755,0.8517541363835335,98,/tmp/ShineRunner-51ad5c02-14cf-4e22-901e-ccb92c6cf842,0
True,37.264678,13.48722,0.028183,0.025341,0.0023447314898173014,28.041225012143453,956.2641652300954,4.440677223354578,1.427932373713702,1.0050832269713283,90,/tmp/ShineRunner-52107ecf-e6db-4fb0-9a10-795ac03498b2,0
True,32.558637,8.599083,0.005173,0.004579,0.0015889207522074382,18.09933560291926,546.9281962141395,4.616453982517124,1.0397846046835184,0.8660022916272283,116,/tmp/ShineRunner-2898c04f-cada-49b6-9249-1d2d8e6933ef,0
