success,current_drive_A,enbi,nbar,np,hfactor,run_dir,batch_num
True,189369.2347199896,968.6164786926946,3.684704507627288,1.434011465298235,1.017809299643721,/tmp/csv_runner-4fc33698-7844-4769-b73e-64d980b80250,15
True,146651.92790635733,523.8791739709243,4.31482342541278,1.4418901925249463,1.2938739586142851,/tmp/csv_runner-44402832-0115-41e4-b524-51eb984db2b0,16
True,145588.58055101172,523.8791739709243,4.31482342541278,1.4418901925249463,1.2938739586142851,/tmp/csv_runner-5f4852b7-c82c-4578-8383-528d8be07329,16
True,145590.3895783211,523.8791739709243,4.31482342541278,1.4418901925249463,1.2938739586142851,/tmp/csv_runner-c392d8db-1dc1-46e6-85b4-534928a0494a,16
True,145980.7834354319,523.8791739709243,4.31482342541278,1.4418901925249463,1.2938739586142851,/tmp/csv_runner-d639b943-8671-4c4e-8daf-2a44160f99e8,16
True,147511.67119573726,523.8791739709243,4.31482342541278,1.4418901925249463,1.2938739586142851,/tmp/csv_runner-33ffbbd9-8667-4a5f-af71-726edf0ded1c,16
True,54294.87604031785,561.8068150280982,11.831954374545104,1.3869069626918962,1.3598751074136457,/tmp/csv_runner-ebdd7e00-2807-461f-a8b6-9b9692bee68a,17
True,53604.92658881146,561.8068150280982,11.831954374545104,1.3869069626918962,1.3598751074136457,/tmp/csv_runner-f6619f82-a4bc-4220-bcdf-2acc13bdb547,17
True,53396.25333304381,561.8068150280982,11.831954374545104,1.3869069626918962,1.3598751074136457,/tmp/csv_runner-99d23902-0c02-4bdf-973c-bd6e5f4af7b2,17
True,52642.57173638063,561.8068150280982,11.831954374545104,1.3869069626918962,1.3598751074136457,/tmp/csv_runner-363ebe53-8852-4ae8-bc8a-02ab714a1fda,17
True,54225.71693156504,561.8068150280982,11.831954374545104,1.3869069626918962,1.3598751074136457,/tmp/csv_runner-aea5eb02-cf60-4f5d-9561-6845013780f2,17
True,328092.3385624205,997.2851719111468,8.46699466431356,1.405960288789698,1.2795821649855612,/tmp/csv_runner-bad0c4ef-110d-4f2f-bc39-d07dd44fbb82,18
True,331154.6057434067,997.2851719111468,8.46699466431356,1.405960288789698,1.2795821649855612,/tmp/csv_runner-e1fa427f-8452-4d9d-9d4c-3a82fc88c442,18
True,338428.47652436944,997.2851719111468,8.46699466431356,1.405960288789698,1.2795821649855612,/tmp/csv_runner-b116f4b0-23c5-457f-80b1-55b3d08bcbb3,18
