sdcc_preruntime_min,ascot_runtime_min,cleaning_time_min,total_runtime_min,lost_power_W_output,number_particles,current_drive_A,power_deposited_to_ions_W,power_deposited_to_electrons_W,success,enbi,nbar,np,hfactor,index,run_dir,batch_num
11.44,0.22,0.01,11.66,0.0,4.001263145230039e+19,57087.84214099866,2796702.4057220025,2703229.7809031,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2820,/tmp/ascot_sdcc_workflow_runner-7ae0a6bb-1965-4ddb-b4d9-ece4442592f7,17
11.48,0.22,0.01,11.7,0.0,4.1179462411553645e+19,61130.80433064188,2880949.156102089,2645449.210924861,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2830,/tmp/ascot_sdcc_workflow_runner-74612d82-5836-4d12-acf5-53a0a97a5554,17
12.5,0.23,0.01,12.74,0.0,4.092655564184566e+19,61054.980191170514,2866657.028470426,2716628.399620942,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2800,/tmp/ascot_sdcc_workflow_runner-ba28f9e4-ac16-4d5b-b353-d513253c42d4,17
4.98,0.22,0.01,5.22,0.0,3.92142886437922e+19,55640.68366298482,2760744.5686037377,2751142.924489212,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2850,/tmp/ascot_sdcc_workflow_runner-e78c69cf-5e5e-4ef4-87a5-4520217f8eec,17
6.35,0.22,0.01,6.58,6600.887728043564,4.170072378205364e+19,60341.17245283157,2913861.4963210416,2672489.1330917603,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2880,/tmp/ascot_sdcc_workflow_runner-9fb70ab8-adbb-42aa-a5c9-9983129573ab,17
7.19,0.21,0.01,7.41,0.0,4.013664141016217e+19,56600.18498818035,2812065.1745925974,2644602.983336556,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2870,/tmp/ascot_sdcc_workflow_runner-18adac54-1f5b-416e-90a5-4efd82537eee,17
20.92,0.23,0.01,21.16,0.0,4.052672549322618e+19,59553.891371050086,2842102.202152698,2684679.746091691,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2790,/tmp/ascot_sdcc_workflow_runner-bab9dd0e-eae9-40ff-8c3e-af0a3f9743dd,17
7.2,0.23,0.06,7.5,0.0,4.0282410178513584e+19,58122.64852154476,2827722.1976192845,2723016.419188885,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2840,/tmp/ascot_sdcc_workflow_runner-7c1833a2-397f-46fc-bd6c-4e38c0721077,17
8.44,0.22,0.01,8.67,0.0,4.031332971434865e+19,56578.95437479732,2820427.5743880267,2657969.3760886616,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2860,/tmp/ascot_sdcc_workflow_runner-c9b18b2a-226e-4eef-8305-06b19ca5c9c1,17
39.31,0.24,0.17,39.72,6599.305686086756,3.966354539666556e+19,56676.599827717386,2780858.8809495843,2834202.626741823,True,525.2378125853968,7.972076395987758,1.1571065369897822,1.165853608533115,2810,/tmp/ascot_sdcc_workflow_runner-ba5cf196-fb64-457b-b20d-40c8a8a5027b,17
